"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3WLZY7H3","book","1922","Krischen, Fritz","Die Befestigungen von Herakleia am Latmos","","","","","https://doi.org/10.11588/diglit.51765","","1922","2021-10-26 13:41:34","2023-01-27 11:33:00","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","3,2","","","","Berlin/Leipzig","","","","Literatursammlung Miletserver","","","","Citation Key: krischen_BefestigungenHerakleiaAm_1922","","","","Latmos; Befestigung; Herakleia; Stadtmauer; 13 Umlandforschung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAYF3MHF","book","2016","Kunisch, Norbert","Funde aus Milet 3. Die attische Importkeramik","","","","","","Publication of the Attic pottery from various sanctuaries of ancient Miletus with special emphasis on the finds from the sanctuary of Aphrodite on Zeytintepe. With the help of these finds an attempt has been made to come to a renewed and conclusive discussion of late archaic-classical chronology of Attic pottery.","2016","2021-10-26 13:41:34","2022-12-15 17:44:14","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","5,3","","","De Gruyter","Berlin/Boston","","","","Literatursammlung Miletserver","","","","Citation Key: kunisch_FundeAusMilet_2016","","","","Attisch; Keramik; Rotfigurig; Schwarzfigurig; Schwarzfirnisware; Aphroditeheiligtum; Zeytintepe; Importkeramik; 08 Kulte und Kulteinrichtungen; 03 Funde aus Milet; 03-05 Funde: Keramik; 08-06 Kulte: Aphrodite von Oikous; 03-05-04 Keramik: archaische Zeit; 03-05-05 Keramik: klassische Zeit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENJR39T9","book","1936","Philippson, Alfred","Das südliche Jonien","","","","","","","1936","2021-10-26 13:41:34","2022-12-15 17:36:53","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","3,5","","","","Berlin/Leipzig","","","","","","","","Citation Key: philippson_SudlicheJonien_1936","","","","Latmos; 13 Umlandforschung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HLRVPWY","book","1997","Rehm, Albert; Herrmann, Peter","Inschriften von Milet Teil 1. Inschriften n. 187-406. Nachträge und Übersetzungen zu den Inschriften n. 1-406.","","","","","","","1997","2021-10-26 13:41:34","2022-12-15 17:35:12","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","6,1","","","De Gruyter","Berlin/New York","","","","Literatursammlung Miletserver","","","","Citation Key: rehm_InschriftenMiletTeil_1997","","","","Gylloi; Opferkalender; 03 Funde aus Milet; 03-08 Funde: Inschriften","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYZYJLUL","book","1915","von Gerkan, Armin","Der Poseidonaltar bei Kap Monodendri","","","","","","","1915","2021-10-26 13:41:34","2022-12-15 17:37:05","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,4","","","","Berlin","","","","","","","","Citation Key: vongerkan_PoseidonaltarBeiKap_1915","","","","Heiligtum; Altar; Poseidon; 07 Architektur; 08 Kulte und Kulteinrichtungen; 07-01 Architektur: Varia; 08-01 Kulte: Varia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VN26TSCN","book","1921","von Gerkan, Armin","Das Stadion","","","","","","","1921","2021-10-26 13:41:34","2022-12-15 17:37:03","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","2,1","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: vongerkan_Stadion_1921","","","","07 Architektur; 07-01 Architektur: Varia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKTMW9EX","book","1922","von Gerkan, Armin","Der Nordmarkt und der Hafen an der Löwenbucht","","","","","","","1922","2021-10-26 13:41:34","2022-12-15 17:37:02","","","","","6","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1","","","","Berlin/Leipzig","","","","Literatursammlung Miletserver","","","","Citation Key: vongerkan_NordmarktUndHafen_1922","","","","Agora; Hafen; 07 Architektur; 07-05 Architektur: Platzanlagen und angrenzende Bauten; 07-08 Architektur: Häfen und maritime Infrastruktur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U76Q3IIV","book","1925","von Gerkan, Armin","Kalabaktepe, Athenatempel und Umgebung","","","","","","","1925","2021-10-26 13:41:34","2023-03-23 11:44:39","","","125","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,8","","","von Schoetz und Parrhysius","Berlin","German","","","Literatursammlung Miletserver","","","","Citation Key: vongerkan_KalabaktepeAthenatempelUnd_1925","","","","Heiligtum; Archaisch; Artemis; Athena; Athenatempel; Kalabaktepe; 07 Architektur; 08 Kulte und Kulteinrichtungen; 08-04 Kulte: Athena; 07-01 Architektur: Varia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93GY6MBB","book","1935","von Gerkan, Armin","Die Stadtmauern","","","","","","","1935","2021-10-26 13:41:34","2022-03-21 11:09:11","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","2,3","","","","Berlin/Leipzig","","","","Literatursammlung Miletserver","","","","Citation Key: vongerkan_Stadtmauern_1935","","","","Befestigung; Stadtmauer; 07 Architektur; 03 Funde aus Milet; 07-02 Architektur: Stadtmauern und Wehranlagen; 03-08 Funde: Inschriften","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LYKNCDE","book","1928","von Gerkan, Armin; Krischen, Fritz","Thermen und Palaestren","","","","","","","1928","2021-10-26 13:41:34","2022-12-15 17:36:58","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,9","","","von Schoetz und Parrhysius","Berlin","German","","","Literatursammlung Miletserver","","","","Citation Key: vongerkan_ThermenUndPalaestren_1928","","","","Römisch; Thermen; 07 Architektur; 07-07 Architektur: Gymnasia und Thermenanlagen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMHBLWNM","book","1913","Wiegand, Theodor","Der Latmos","","","","","https://doi.org/10.11588/diglit.1001","","1913","2021-10-26 13:41:34","2023-01-27 11:33:37","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","3,1","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_Latmos_1913","","","","Didyma; Latmos; 13 Umlandforschung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCPTKV22","book","1929","Wiegand, Theodor","Die milesische Landschaft","","","","","https://doi.org/10.11588/diglit.1029","","1929","2021-10-26 13:41:34","2023-01-27 11:33:26","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","2,2","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_MilesischeLandschaft_1929","","","","Topographie; 02 Allgemeine Darstellungen / Topographie; 13 Umlandforschung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L8JRJL67","book","1906","Wilski, Paul","Karte der Milesischen Halbinsel","","978-1-60413-879-5","","","https://doi.org/10.11588/diglit.1027","","1906","2021-10-26 13:41:34","2023-01-27 11:30:56","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","1,1","","","Verlag Georg Reimer","","","","","","","","","Citation Key: wilski_KarteMilesischenHalbinsel_1906","","","","02 Allgemeine Darstellungen / Topographie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3X9N24D","book","1935","Wulzinger, Karl","Das islamische Milet","","","","","","","1935","2021-10-26 13:41:34","2022-12-15 17:36:54","","","","","","","","","Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","3,4","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wulzinger_IslamischeMilet_1935","","","","Byzantinisch; Keramik; Islamisch; 02 Allgemeine Darstellungen / Topographie; 07 Architektur; 03 Funde aus Milet; 03-05 Funde: Keramik; 07-11 Architektur: Kirchen, Synagogen, Moscheen; 07-01 Architektur: Varia; 07-09 Architektur: Wohngebäude; 07-10 Architektur: Wasserversorgung; 03-08 Funde: Inschriften; 02-08 Topographie: Spät und Nachantike; 03-05-08 Keramik: Spät und Nachantike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5R8WRVW","book","2007","","Frühes Ionien. Eine Bestandsaufnahme. Panionion Symposion Güzelçamlı, 26. September – 1. Oktober 1999","","","","","","","2007","2021-10-26 13:41:56","2022-12-15 17:34:20","","","","","","","","","Milesische Forschungen","5","","","von Zabern","Mainz","","","","Literatursammlung Miletserver (nicht vollständig)","","","","Citation Key: cobet_FruhesIonienBestandsaufnahme_2007","","","","Mykale; 02 Allgemeine Darstellungen / Topographie","","Cobet, Justus; von Graeve, Volkmar; Niemeier, Wolf-Dietrich; Zimmermann, Konrad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XP5PTF2W","book","2000","Held, Winfried","Das Heiligtum der Athena in Milet","","3-8053-2594-0","","","","","2000","2021-10-26 13:41:56","2022-12-15 17:42:54","","","","","","","","","Milesische Forschungen","2","","","","Mainz","","","","","","","","Citation Key: held_HeiligtumAthenaMilet_2000","","","","Heiligtum; Athena; 08 Kulte und Kulteinrichtungen; 08-04 Kulte: Athena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDF9MS87","book","2006","Herda, Alexander","Der Apollon-Delphinios-Kult in Milet und die Neujahrsprozession nach Didyma. Ein neuer Kommentar der sog. Molpoi-Satzung (Milet I, 3 Nr. 133)","","","","","","","2006","2021-10-26 13:41:56","2022-12-15 17:53:09","","","","","","","","","Milesische Forschungen","4","","","","Mainz","","","","Literatursammlung Miletserver","","","","Citation Key: herda_ApollonDelphiniosKultMiletUnd_2006","","","","Heiligtum; Apollon; Delphinion; Heilige Straße; Prozession; 08 Kulte und Kulteinrichtungen; 03 Funde aus Milet; 03-08 Funde: Inschriften; 08-03 Kulte: Heilige Straße (Milet<>Didyma); 08-02 Kulte: Apollon Delphinios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758NC67U","book","2008","Kalaitzoglou, Georg","Assesos. Ein geschlossener Befund südionischer Keramik aus dem Heiligtum der Athena Assesia","","","","","","","2008","2021-10-26 13:41:56","2022-12-15 17:34:15","","","","","","","","","Milesische Forschungen","6","","","","Mainz","","","","","","","","Citation Key: kalaitzoglou_AssesosGeschlossenerBefund_2008","","","","Heiligtum; Geometrisch; Archaisch; Keramik; Athena; Assesos; Subgeometrisch; 08 Kulte und Kulteinrichtungen; 08-11 Kulte: Athena Assesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBNZQ948","book","2004","Marcellesi, Marie-Christine","Milet des Hécatomnides à la domination romaine: Pratiques monétaires et histoire de la cité du IVe au IIe siècle av. J.-C.","","","","","","","2004","2021-10-26 13:41:56","2022-12-15 17:34:35","","","","","","","","","Milesische Forschungen","3","","","","Mainz","","","","","","","","Citation Key: marcellesi_MiletHecatomnidesDomination_2004","","","","Römisch; Hekatomniden; 03 Funde aus Milet; 10 politische Geschichte; 10-04 Geschichte: hellenistische Zeit; 03-09 Funde: Münzen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FEKVZSZ","book","1999","Schneider, Carsten","Die Musengruppe von Milet","","","","","","","1999","2021-10-26 13:41:56","2022-12-15 17:42:40","","","","","","","","","Milesische Forschungen","1","","","","Mainz","","","","","","","","Citation Key: schneider_MusengruppeMilet_1999","","","","Musen; Skulptur; 03 Funde aus Milet; 03-04 Funde: Skulptur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SV9T9PB","book","1908","Wiegand, Theodor","Sechster vorläufiger Bericht über die von den Königlichen Museen in Milet und Didyma unternommenen Ausgrabungen","","","","","","","1908","2021-10-26 13:43:04","2023-01-26 14:44:16","","","","","","","","","Abhandlungen der Königlich Preussischen Akademie der Wissenschaften, Philosophisch-historische Klasse","","","","Verlag der Königlichen Akademie der Wissenschaften, in Comission bei G. Reimer","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_SechstervorlaufigerBericht_1908","","","","Dionysos; lex sacra; 01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCDW84WR","book","1924","Wiegand, Theodor","Achter vorläufiger Bericht über die von den staatlichen Museen in Milet und Didyma unternommenen Ausgrabungen","","","","","","","1924","2021-10-26 13:43:04","2022-12-15 17:36:59","","","","","","","","","Abhandlungen der Königlich Preussischen Akademie der Wissenschaften, Philosophisch-historische Klasse","","","","Akademie der Wissenschaften","","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_AchterVorlaufigerBericht_1924","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTBHSNI7","book","1911","Wiegand, Theodor","Siebenter vorläufiger Bericht über die von den Königlichen Museen in Milet und Didyma unternommenen Ausgrabungen","","","","","https://doi.org/10.11588/diglit.1139","","1911","2021-10-26 13:43:04","2023-01-27 11:34:05","","","","","","","","","Abhandlungen der Königlich Preussischen Akademie der Wissenschaften, Philosophisch-historische Klasse","","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_SiebentervorlaufigerBericht_1911","","","","Didyma; Michaelskirche; 01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTZG5QYV","journalArticle","1900","Kekulé von Stradonitz, Reinhard","Vorläufiger Bericht über die von den Königlichen Museen begonnenen Ausgrabungen in Milet","Sitzungsberichte der Königlich Preussischen Akademie der Wissenschaften zu Berlin","","","","","","1900","2021-10-26 13:43:04","2022-12-20 10:02:25","","104–115","","","","","SBBerlin","","","","","","","","","","","","","","","Citation Key: kekulevonstradonitz_VorlaufigerBerichtUber_1900","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UP35ZQIR","journalArticle","1901","Wiegand, Theodor","Ausgrabungen zu Milet","Archäologischer Anzeiger","","","","","","1901","2021-10-26 13:43:04","2022-12-20 09:47:09","","191-199","","","1901","","AA","","","","","","","","","","","","","","","Citation Key: wiegand_AusgrabungenMilet_1901","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REN3RJ9N","journalArticle","1901","Wiegand, Theodor","Zweiter vorläufiger Bericht über die Ausgrabungen der königlichen Museen zu Milet","Sitzungsberichte der Königlich Preussischen Akademie der Wissenschaften zu Berlin","","","","","","1901","2021-10-26 13:43:04","2022-12-20 10:02:28","","903-913","","","1901","","SBBerlin","","","","","","","","","","","","","","","Citation Key: wiegand_ZweiterVorlaufigerBericht_1901","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6SIYB2BC","journalArticle","1902","Wiegand, Theodor","Zweiter vorläufiger Bericht über die Ausgrabungen der königlichen Museen zu Milet","Archäologischer Anzeiger","","","","","","1902","2021-10-26 13:43:04","2022-12-20 09:47:11","","147-155","","","1902","","AA","","","","","","","","","","","","","","","Citation Key: wiegand_ZweiterVorlaufigerBericht_1902","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZZI3W9L","bookSection","1904","Wiegand, Theodor","Dritter vorläufiger Bericht über die von den Königlichen Museen begonnenen Ausgrabungen in Milet","Abhandlungen der Preußischen Akademie der Wissenschaften","","","","https://doi.org/10.11588/diglit.1804","","1904","2021-10-26 13:43:04","2023-01-27 11:34:33","","72-91","","","1904,3","","","","Abhandlungen der Königlich Preussischen Akademie der Wissenschaften, Philosophisch-historische Klasse","","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_DritterVorlaufigerBericht_1904","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KRGMI5U","journalArticle","1904","Wiegand, Theodor","Dritter vorläufiger Bericht über die von den Königlichen Museen begonnenen Ausgrabungen in Milet","Archäologischer Anzeiger","","","","","","1904","2021-10-26 13:43:04","2022-12-20 09:47:13","","2-10","","","1904","","AA","","","","","","","","","","","","","","","Citation Key: wiegand_DritterVorlaufigerBericht_1904a","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZR4AZL6G","bookSection","1905","Wiegand, Theodor","Vierter vorläufiger Bericht über die von den Königlichen Museen begonnenen Ausgrabungen in Milet","Sitzungsberichte der Deutschen Akademie der Wissenschaften zu Berlin","","","","","","1905","2021-10-26 13:43:04","2023-01-26 14:43:45","","533-548","","","1","","","","Abhandlungen der Königlich Preussischen Akademie der Wissenschaften, Philosophisch-historische Klasse","","","","Königliche Akademie der Wissenschaften","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_ViertervorlaufigerBericht_1905","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38LUVN72","bookSection","1906","Wiegand, Theodor","Fünfter vorläufiger Bericht über die von den Königlichen Museen begonnenen Ausgrabungen in Milet","Abhandlungen der Preußischen Akademie der Wissenschaften","","","","","","1906","2021-10-26 13:43:04","2023-01-26 14:43:59","","249-265","","","1","","","","Abhandlungen der Königlich Preussischen Akademie der Wissenschaften, Philosophisch-historische Klasse","","","","","Berlin","","","","Literatursammlung Miletserver","","","","Citation Key: wiegand_FunftervorlaufigerBericht_1906","","","","Nordmarkt; 01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IUBFT6U","journalArticle","1906","Wiegand, Theodor","Vierter vorläufiger Bericht über die von den Königlichen Museen begonnenen Ausgrabungen in Milet","Archäologischer Anzeiger","","","","","","1906","2021-10-26 13:43:04","2022-12-20 09:47:16","","2-42","","","1906","","AA","","","","","","","","","","","","","","","Citation Key: wiegand_VierterVorlaufigerBericht_1906","","","","01 Grabungs und Arbeitsberichte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKWFMD5R","bookSection","2004","Brückner, Helmut; Müllenhoff, Marc; van der Borg, Klaas; Vött, Andreas","Holocene Coastal Evolution of Western Anatolia. The Interplay between Natural Factors and Human Impact","CIESM (Commission Internationale pour l´Exploration Scientifique de la mer Méditerranée): Human Records of Recent Geological Evolution in the Mediterranean Basin – Historical and Archaeological Evidence (Santorini, Greece, 22–25 October 2003)","","","","","","2004","2021-10-26 13:43:56","2022-12-15 17:34:36","","51--56","","","","","","","CIESM Workshop Monographs","24","","","","Monaco","","","","","","","","Citation Key: bruckner_HoloceneCoastalEvolution_2004","","","","Mäander; Verlandung; 11 Geographie und Geophysik","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
